Proposal,Decision,Ward,View
"Codi adeilad yn lle adeilad presennol (rhannol ôl-weithredol) ar gyfer defnydd fel gweithdy masnachol, storfa, a modurdy, ac hawl ol weithredol ar gyfer ffurfio mynedfa newydd ynghyd a ffordd mynediad ynghyd a dymchwel modurdy a sied/ Proposed erection of replacement buildings (partially retrospective) for use as a commercial workshop, store and garages, and for retrospective consent for the formation of new entrance and access road and also for the demolition of a garage and large shed at Llain Meddygon, Caeathro, Gwynedd, LL55 2TH (resubmission).",,Bontnewydd,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32103
Rhyddhau Amod rhif 4 (manylion paneli solar) ar caniatadC16/0947/24/LL Discharge of condition 4 (details of solar panels) on planning application C16/0947/24/LL ,Condition(s) Fully Discharged,Llanwnda,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32102
Gwaith peirianyddol er mwyn codi estyniad i morlyn slyri presennol a storfa silwair presennol/ Engineering works to create an extension to the existing silage and slurry pits.,Approved with Conditions,Efailnewydd / Buan,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32100
Porth at flaen ty annedd/ Porch to the front of dwelling,Refused,Cwm y Glo,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32099
Codi uned Diwydiannol newydd fel weithdai/ Erection of Industrial unit to form new workshop,,Seiont (Caernarfon),https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32105
"Newid defnydd o dŷ annedd preswyl (Dosbarth Defnydd C3) i sefydliad preswyl (Dosbarth Defnydd C2). Cynigir mân ad-drefnu mewnol, gan gynnwys addasu'r eiddo yn fewnol i gynnwys 4 uned hunangynhwysol yn yr amlen bresennol a throsi garej yn uned hunangynhwysol wedi'i chysylltu â'r prif dŷ.

Change of use from a residential dwelling house (Use Class C3) to a residential institution  (Use Class C2). Minor internal reconfiguration is proposed, including internally adapting the property to create 4 self-contained units within the existing envelope and garage conversion to provide a self-contained unit linked to the main house.",,Nefyn,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32106
Cais ar gyfer gosod arwydd ar ochr adeilad presennol/ Applicatin for the erection of a sign on side of existing building,Approved with Conditions,Llanllyfni,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32098
Addasiadau mewnol / Internal alterations ,Approved with Conditions,Corris / Mawddwy,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32095
Addasiadau allanol i'r adeiladau yn dilyn caniatad blaenorol C18/0798/17/CR / External Alterations to buildings following from consent C18/0798/17/CR ,Approved with Conditions,Groeslon,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32094
"Newid defnydd bwyty (dosbarth defnydd A3) i dy annedd (dosbarth defnydd C3)
Change of use of restaurant (A3 use class) to dwellinghouse (C3 use class)",Refused,Tywyn,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32096
Cais i ddileu amod  6  o ganiatad cynllunio C21/0114/40/DT sy'n ymwneud a caniatau carafan parhaol yn ardd gefn y ty annedd/Application to remove condition 6 of planning permisison C21/0114/40/DT in relation to allow permanent location of static caravan in the garden of the dwelling house. ,Refused,Efailnewydd / Buan,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32093
"Codi sied amaethyddol fel cysgodfan i da byw, cadw peiriannau ynghyd a storio porthiant/Erection of agricultural shed to accommodate livestock, store machinery and fodder.",Refused,Tregarth & Mynydd Llandygai,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32089
Estyniad deulawr ac unllawr yn y cefn/Two storey and single storey extension at the rear. ,Approved (Without Conditions),Ogwen,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32090
Estyniad un llawr/Single storey extension. ,Approved on Appeal with Conditions,Deiniolen,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32088
Addasiadau mewnol / Internal alterations,,Deiniol (Bangor),https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32091
"Cais o dan Adran 73 i amrywio amod 10 ar ganiatâd cynllunio C18/1125/17/LL i  cynyddu'r nifer o symudiadau loriau 'HGV' o 5 llwyth y diwrnod i 9 llwyth y diwrnod ar Ddydd Llun i Dydd Gwener, gyda dim symudiadau HGV ar y Sadwrn. / Application under Section 73 to vary condition 10 on planning permission C18/1125/17/LL to increase the number of HGV lorry loads from 5 loads a day to 9 loads a day, Monday to Friday with no HGV movements on a Saturday",,Talysarn,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32092
Hysbysiad ymlaen llaw i ddymchwel ddau ddosbarth symudol/Prior notification regarding demolishing two mobile classrooms. ,Approved (Without Conditions),Ogwen,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32083
Adeiladu sied amaethyddol i gynnwys storfa biswail o dan y llawr ac i gartrefu gwartheg dros y gaeaf/Erection of an agricultural shed to include underfloor slurry storage and to accommodate cattle during winter. ,Approved (Without Conditions),Bethel,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32082
"Gwaith tocio dwy goeden Ywen
Pruning works to two Yew Trees",,Llanystumdwy,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32087
Cadw ffliw echdynnu yng nghefn yr eiddo/Retention of extraction flue at rear of property. ,,Deiniol (Bangor),https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32084
"Codi 25 uned fforddiadwy, mynedfa, cyfleusterau parcio, tirlunio a gwaith cysylltiedig/ Erection of 25 affordable units, access, car parking, landscaping and associated works",,Hendre (Bangor),https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32086
Newidiadau allanol i'r gweithdy/stiwdio/External alterations to workshop/studio.,Approved with Conditions,Pentir,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32085
"Sied amaethyddol 
Agricultural shed",,Llanystumdwy,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32077
"Creu pwll piswail tanddaearol o dan sied wartheg bresennol
Create underground slurry pit below existing cattle shed   ",Approved with Conditions,Llanystumdwy,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32079
"Dymchwel estyniad ochr a phorth blaen a chodi estyniad deulawr ochr, codi porth newydd ac addasiadau allanol
Demolish side extension and porch and erect two storey side extension, new porch and external alterations",Approved with Conditions,Penrhyndeudraeth,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32080
Cais ar gyfer creu pwll slyri / Application to create slurry lagoon,Approved with Conditions,Y Felinheli,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32078
"Cais i ddiddymu Cytundeb 106 ""Person Lleol"" oddi wrth eiddo anheddol.

Application to remove ""Local Person"" Section 106 agreement from residential property.",Approved (Without Conditions),Nefyn,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32075
Cais i adeiladau Sied a Swyddfa at flaen ty annedd/Application for the erection of an office and shed to front of dwelling.,Approved with Conditions,Talysarn,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32076
"Storfa biswail arfaethedig
Proposed slurry store",Approved with Conditions,Llanystumdwy,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32126
"Newidiadau ac estyniadau i annedd bresennol i gynnwys estyniadau blaen ac ochr, creu is-lawr gwaelod, ehangu'r to a newidiadau i'r ffenestri, ynghyd ag addasiadau i fodurdy ar wahân presennol.

Alterations and extensions to existing dwelling to include front and side extensions, the creation of a lower ground floor, a roof enlargement and changes to its fenestration, as well as alterations to an existing detached garage.",Refused,Llanengan,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32074
"Addasu adeilad allanol i uned wyliau, gosod cyfarpar trin carthion ynghyd a chodi sied cae ar gyfer lloches i  ystlumod/Conversion of outbuilding into a holiday unit, siting of sewage treatement plant together with erection of field shelter to accommodate bats. ",,Waunfawr,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32058
"Adeiladu anecs unllawr
Construction of a single storey annexe",Refused,Cwm y Glo,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32063
"Creu twll piswail dan sied bresennol. 
Creation of slurry pit under existing shed.",Approved with Conditions,Tudweiliog,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32072
"Adeiladu storfa slyri o dan lawr yr adeilad da byw presennol.
Construction of slurry store underneath the floor of existing livestock housing.",,Aberdaron,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32071
"Defnyddio adeiladau allannol fel hundai o fewn maes carafanau presennol.
Use of outbuildings as bunk houses within existing caravan site",Refused,Llanrug,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32067
"Addasu adeilad allannol yn anecs hunangynhaliol
Conversion of outbuildings to self contained annexe.",,Efailnewydd / Buan,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32081
"Estyniad unllawr i'r blaen o'r ty.
Single storey front extension ",Refused,Llanengan,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32070
"Dymchwel balconi presennol. Codi balconi newydd i'r prif edrychiad.

Demolish existing balcony. Erect new balcony to the principle elevation.",Approved with Conditions,Abersoch,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32068
"Adeiladu 17 o dai fforddiadwy, mynedfa, llefydd parcio, tirlunio a gwaith cysylltiol.
Erection of 17 affordable dwellings, access, car parking, landscaping and associated works",,Cadnant (Caernarfon),https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32062
"Diwygiad i ganiatad cynllunio C20/0322/44/DT er mwyn codi  uchder to i greu ystafell ail lawr
Amendment to planning application  C20/0322/44/DT to raise roof to provide second floor level",Approved with Conditions,Porthmadog (West),https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32059
"Addasu modurdy yn anecs ynghyd a chodi estyniad.
Conversion of garage into annex together with construction of an extension",,Cwm y Glo,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32061
"Rhyddhau amod 5 (manylion bolardiau traffic) ar ganiatad rhif C19/0490/14/LL
Discharge of condition 5 (traffic bollard details) on planning permission number C19/0490/14/LL",Condition(s) Fully Discharged,Seiont (Caernarfon),https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32064
Diwygio amod rhif 5 ar gais C14/0074/17/11 i gadw carafanau ar y safle trwy gydol y flwyddyn/  Variation of condition 5 on application C14/0074/17/11 to retain caravans on the site throughout the year.,Refused,Groeslon,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32066
Codi twnel poli ar gyfer tyfu llysiau/Erection of polytunnel for growing  vegetables.,Approved with Conditions,Waunfawr,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32060
"Codi polyn 15.0m o uchder a chyfarpar offer.
Erection of 15.0m high mast and associated ancillary works.",Approved (Without Conditions),Pentir,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32069
"Codi dau adeilad amaethyddol, un adeilad dros iard fferm bresennol a'r llall yn adeilad llawr slatiau (tanc oddi tano) ar gyfer cadw gwartheg.
Erect two agricultural buildings, one over existing farm yard and one with slatted floor (with  underground tank) for cattle ",Approved with Conditions,Dolbenmaen,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32057
"Codi polyn  telegyfathrebu 15m a chyfarpar offer.
Erection of 15m tele communications mast and associated ancillary works.",Refused,Llanrug,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32056
Cais ar gyfer darparu ffenestr gromen ynghyd a balconi juliette ar flaen yr eiddo / Application for the provision of a dormer window and juliette balcony on the front elevation. ,Approved with Conditions,,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32073
"Newid drysau ffrengig am ffenestr gyffredin ar yr edrychiad blaen, tynnu simddde, newid to'r lolfa wydr o un polycarbonate i un llechi a gosod gwydr yn y talcen ynghyd a gosod nenoleuadau
Change french doors to a standard window on front elevation, remove chimney, change roof of conservatory from polycarbonate to slate and install glazing in the gable along with installing roof lights",Approved with Conditions,Llanystumdwy,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32119
"Adeiladu ysgol newydd a gwaith cysylltiol yn cynnwys ardaloedd chwarae a dysgu allanol, parcio ar safle a mynedfa newydd i'r briffordd
Construction of new school along with ancillary works including outdoor play and learning areas, onsite parking and new highway access.",,Llanystumdwy,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32054
"Dymchwel lolfa wydr cefn presennol ac adeiladu estyniad unllawr cefn 
Demolish existing rear conservatory and erection of a single storey rear extension ",Approved with Conditions,Pwllheli (South),https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32053
"Ymestyn parc carafanau i'r cae cyfagos gan ychwanegu 8 Plot Carafanau Statig yn cynyddu cyfanswm y lleiniau o 17 o Garafanau Statig i 25.

Extending caravan park to adjoining field with the addition of 8 Static Caravan Plots increasing the total plots from 17 Static Caravans to 25.",,Nefyn,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32050
"Estyniad unllawr
Single storey extension",Approved with Conditions,Criccieth,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32052
"Cais cynllunio i greu ystorfa piswail o dan llawr adeilad amaethyddol presennol ar fuarth y fferm.

Planning application for the creation of a slurry store beneath the floor of an existing agricultural building on the farmyard.",Approved with Conditions,Llanystumdwy,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32051
"Ail-wneud twll piswail a chodi tô drosto
Redo slurry pit and build roof above",Approved with Conditions,Dolbenmaen,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32122
"Adeiladu storfa dderbyn slyrri a 20m o sianel danddaearol a chodi sied drosto
Construction of a slurry store with a 20m underground channel and a shed above",Approved with Conditions,Dolbenmaen,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32120
Creu pwll piswail newydd oddimewn sied bresennol/Creation of a new slurry pit within an existing shed,Approved with Conditions,Aberdaron,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32150
"Amnewid ystafell wydr bresennol gydag estyniad unllawr yng nghefn yr eiddo

Replace existing conservatory with a single storey extension at the rear of the property",Approved with Conditions,Morfa Nefyn,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32049
"Tynnu to llethrog presennol ac adeiladu to fflat newydd. Dymchwel modurdy presennol ac adeiladu modurdy newydd llai.
Removal of existing pitched roof and construction of new flat roof. Demolition of existing garage and construction of new smaller garage.",,Abersoch,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32048
"Amnewid Cwt Traeth presennol
Replacement of existing Beach Hut",,Abersoch,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32047
"Dymchwel ystafell wydr yn y cefn; tynnu to fflat o'r estyniad cefn unllawr presennol. Adeiladu estyniad unllawr newydd yn y cefn ynghyd â strwythur to fflat parapet. Ffurfio wal parapet i'r strwythur llawr sengl cyfagos a ffurfio to fflat newydd.
Demolition of conservatory to rear; removal of flat roof to existing single-storey rear extension. Construction of new single-storey extension to rear complete with parapet flat roof structure. Form parapet wall to existing adjacent single storey and form new flat roof.",Approved with Conditions,Tudweiliog,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32046
"Trosi adeilad allanol segur i 2 dŷ annedd
Conversion of a derelict outbuilding into 2 dwellinghouses",Refused,Tywyn,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32055
"Ail gyflwyniad o gais i drosi anecs presennol sydd yn cynnwys uned byw a 4 ystafell wely ynghlwm a gwesty i gynnwys ystafelloedd ychwanegol i'r uned byw ynghyd a chreu uned gwyliau hunan wasanaeth tymor byr.
Re-submission of an application for the conversion of annexe that provides an existing private dwelling and 4 hotel bedrooms into additional rooms for the existing dwelling and the creation of a self-serviced holiday let for short-term letting only.",Refused,Nefyn,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32044
"Gwaith i goed sydd yn destun Gorchymyn Gwarchod Coed.
Works to trees which are the subject of a Tree Preservation Order",Approved with Conditions,Llanbedrog,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32045
Cais ar gyfer dymchwel adeilad byncws presennol a chodi adeilad byncws yn ei le / Application for the demolition of existing bunkhouse and erection of replacement bunkhouse,,Y Felinheli,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32035
"Cais ar gyfer gosod 4 arwydd ffasgia wedi ac un heb eu goleuo'n fewnol, ac 11 arwydd sefyll (rhai wedi eu goleuo'n fewnol) ar ben eu hunain o fewn y cwrtil sy'n cynnwys bwydlenni digidol, cyfarwyddiadau ac arwyddion hyrwyddo / Application to install 4 internally illuminated and 1 non-illuminated fascia signs and 11 freestanding signs (some internally illuminated) including digital menu screens, directional signs and promotion signs. ",,Pentir,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32037
"Cais ar gyfer codi siop goffi gyda gwasanaeth 'drive thru' ynghyd a maes parcio, mynedfa, tirlunio a gwaith cysylltiedig / Application for the erecton of a coffee shop with drive thru facility together with associated car parking, access, landscaping and associated works",,Pentir,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32039
"Dymchwel eiddo presennol a chodi dau dŷ newydd ar wahân, ynghyd ac addasu mynedfa bresennol a chreu mynedfa gerbydol newydd, creu mannau parcio a throi/Demolition of existing property and construction of two detached new dwellings, alterations to an existing access and creation of a new vehicular access with parking and turning spaces.",Refused,Abersoch,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32042
"Dileu amod 5 ar ganiatad cynllunio C18/0520/44/LL er cwblhau'r gwaith tirlunio yn unol a'r cynllun gyflwynwyd ar y cais presennol
Remove condition 5 on planning permission C18/0520/44/LL in order to complete the landscaping work in accordance with the plan submitted on the current application",Approved with Conditions,Porthmadog (East),https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32036
"Estyniad unllawr cefn er creu siop pitsa, gosod ffliw echdynnwr i'r siop pysgod a sglodion, trosi y lloriau uwch i ddau fflat hunangynhaliol yn lle'r un presennol a gosod balconi gromen yn y to cefn
Single storey extension to rear to create pizza shop, installing extractor flue to the fish and chip shop, conversion of upper floors to two self contained flats instead of the current one and installing a balcony dormer in the rear roof",,Criccieth,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32040
Adeiladu ystafell gardd unllawr gyda decin allanol ar y tô ynghyd a chreu grisiau allanol/Construction of a single storey garden room with rooftop external decking and creation of external staircase,Approved with Conditions,Abersoch,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32034
Estyniad unllawr cefn/Single storey rear extension,Approved with Conditions,Abersoch,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32032
Cais ar gyfer newid defnydd llawr cyntaf ac ail adeilad o ddefnydd A1 (storfeydd ar gyfer trefnwr gwyliau ar y llawr daear) er mwyn creu 4 uned breswyl hunan gynhaliol / Application for the change of use of first and second floors of building from A1 Use Class (stores for travel agency on ground floor) to 4 self contained residential units,,Deiniol (Bangor),https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32028
Cais ar gyfer codi tol dros y iard fwydo goncrid bresennol / Application to erect a roof of existing concrete animal feeding yard,Approved with Conditions,Arllechwedd,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32031
"Adeilad amaethyddol i gadw offer
Agricultural building for storing equipment",Prior Approval Granted,Teigl,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32118
"Estyniad unllawr to fflat.
Flat roof single storey extension.",,Llanllyfni,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32029
"Diwygio amod 2 a 4 ar ganiatad cynllunio C20/0040/35/LL er mwyn diwygio gorffeniad allanol edrychiad allanol y datblygiad
Vary condition 2 and 4 on planning permission C20/0040/35/LL to amend the external finish of the external appearance of the development",Approved with Conditions,Criccieth,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32030
Dymchwel estyniad unllawr ochr presennol a chodi estyniad deulawr / Demolish existing single storey side extension and erect two storey extension  ,Approved with Conditions,Porthmadog (East),https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32038
Cais ar gyfer ailwampio ty gwydr presennol y gwesty gan gynnwys gosod to un-codiad llechi newydd ac amnewid ffenestri dwbl pren / Application for the refurbishment of hotel's existing conservatory inlcuding new slate lean-to roof and replacement double glazed windows,Approved with Conditions,Llanberis,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32027
Cais ar gyfer rhyddhau amod 28 o ganiatâd cynllunio C19/0950/21/LL sy'n ymwneud a manylion ar ffurf rhaglen o waith archeolegol / Application to discharge condition 28 of planning permission C19/0950/21/LL which relates to  a specification for a programme of archaeological work,Approved (Without Conditions),Arllechwedd,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32026
"Rhyddhau amodau 5 (defnyddiau yn cynnwys paneli solar), 9 a 10 (gwaith archeolegol), 11 (tai fforddiadwy), 12 cynllun rheoli amgylchedd adeiladu), 15 (tirlunio caled a meddal), 18(gosod sustem golau), 19 a 20 (materion bioamrywiaeth), 21 (manylion llwybrau), 22 (enwau Cymraeg) a 24 ( brif bibell ddŵr) ar ganiatad rhif C20/942/22/LL
Discharge of conditions 5 (materials including solar panels), 9 and 10 (archaeological work), 11(affordable housing), 12 (construction environmental management plan), 15 (hard and soft landscaping), 18(installation of lighting system), 19 and 20 (biodiversity matters), 21 (footpath details), 22 (Welsh names) and 24(Water main) on planning permission number C20/0942/22/LL",,Penygroes,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32041
Estyniad unllawr blaen/ Single storey front extension,Approved with Conditions,Abersoch,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32033
Addasiadau mewnol i ail-leoli cegin presennol / Internal alterations to relocate existing kitchen ,Approved with Conditions,Pentir,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32016
"Sied amaethyddol gyda storfa slyri integredig
Agricultural shed with integral slurry store",Approved with Conditions,Llanengan,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32015
"Codi to dros iard anifeiliaid presennol.
Roof over existing livestock yard",Approved with Conditions,Llanengan,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32012
Codi tô dros storfa cadw tail presennol ynghyd a chodi tô dros iard gasglu gwartheg bresennol/Construction of a roof over an existing manure store and construction of a roof over an existing cattle collecting yard.,Approved with Conditions,Tudweiliog,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32024
Codi tô dros storfa slyri dan ddaear presennol/Construction of a roof over an existing below-ground slurry store.,Approved with Conditions,Tudweiliog,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32022
"Pwll slyri a gwaith cysylltiol

Slurry pit and associated works",Approved with Conditions,Efailnewydd / Buan,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32009
Codi tô dros iard anifeiliaid bresennol/Roof over existing livestock yard,Approved with Conditions,Botwnnog,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32023
"Amrywio a dileu amodau ar ganiatâd cynllunio C12/0141/30/LL ar gyfer dymchwel annedd a chodi annedd arall yn ei le.
Amod 2 - Amrywio lluniadau a deunyddiau cymeradwy
Amod 3 - Dileu'r amod (Deunyddiau)
Amod 4 - Dileu'r amod (Deunyddiau)
Amod 6 - Dileu'r amod (Cod Cartrefi Cynaliadwy)
Amod 7 - Dileu'r amod (Cod Cartrefi Cynaliadwy)
Amod 8 - Dileu'r amod (Cod Cartrefi Cynaliadwy)

Variation and removal of conditions on planning permission C12/0141/30/LL  for the demolition of a dwelling and the erection of a replacement dwelling.
Condition 2 - Variation of approved drawings and materials
Condition 3 - Deletion of condition (Materials)
Condition 4 - Deletion of condition (Materials)
Condition 6 - Deletion of condition (Code for Sustainable Homes) 
Condition 7 - Deletion of condition (Code for Sustainable Homes)
Condition 8 - Deletion of condition (Code for Sustainable Homes)",Approved with Conditions,Aberdaron,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32008
"Diwygio amod rhif 3 ar ganiatad cynllunio rhif C16/0872/39/LL  i newid defnydd cymysg dros dro rhan o lawr gwaelod yr adeilad am gyfnod o 5 mlynedd (tan 2021) iw ymestyn i 5 mlynedd ychwanegol (tan 2026) / Vary condition number 3 on planning consent C16/0872/39/LL for the temporary mixed change of use of part of ground floor of building for a period of 5 years (until 2021) , to be extended to an additional 5 years (to 2026)",Approved with Conditions,Dolbenmaen,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32014
Hysbysfwrdd digidol ar wal y capel yn hysbysu digwyddiadau y Capel a digwyddiadau cymdeithasol y pentref/Digital notice-board on chapel wal to notify chapel and local events.,Approved with Conditions,Penygroes,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32019
"Dymchwel tŷ presennol ac adeiladu tŷ newydd gyda garej gysylltiedig, ramp mynediad i gerbydau, llwybr cerdded i gerddwyr, patios a wal perimedr cerrig.

Demolition of existing house and construction of new house with associated garage, vehicle access ramp, pedestrian walkway, patios and stone perimeter wall.",,Llanengan,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32017
"Codi uchder to'r eiddo er creu ystafelloedd yng ngofod y to, gosod ffenestr gromen, codi estyniad ochr,  porth a decing newydd ac addasiadau i orffeniad allanol.
Raise roof height of property to create rooms in roof space, install dormer window, erect side extension, porch and new decking and alterations to external finish",Refused,Abersoch,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32020
Cais ar gyfer dymchwel adeilad presennol a chodi uned modwlar yn ei le ar gyfer darparu cyfleusterau i staff Ambiwlans Awyr / Deomilition of existing building and erection of a new modular unit to provide Air Ambulance Staff facilities,Approved with Conditions,Pentir,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32013
Cais ar gyfer dymchwel anecs presennol a chodi anecs newydd yn ei le / Application for the demolition of existing annexe and the erection of a replacement annexe ,Refused,Clynnog,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32006
"Estyniad arfaethedig a tho newydd.

Proposed extension and new roof.",Approved with Conditions,Morfa Nefyn,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32011
"Cais ar gyfer newid defnydd tir i faes carafanau teithiol 6 uned gan gynnwys darparu adeilad toiledau a chawod, ynghyd â dymchwel adeilad allanol / Application for the change of use of land to provide a 6 unit touring caravan site together with the provision of a toiled and shower block, along wirth the demolition of an outbuilding.",Refused,Abererch,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32005
"Addasiadau mewnol ac allanol i dy annedd, ynghyd a trosi'r seler i uned byw arwahan / Internal and external alterations to dwelling house together with conversion of basement into separate living unit",Approved with Conditions,Seiont (Caernarfon),https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32018
Trosi'r seler presenol i greu uned byw arwahan er defnydd teulu / Conversion of existing basement into separate living unit for family use,Permitted Development,Seiont (Caernarfon),https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32021
